,property_class,property_class_description,owner1,address,city,state,zip_code,latitude,longitude,mail
1868,,,,,,,,42.90541309,-78.81651459999999,
1869,,,,,,,,42.91690237,-78.85734587,
1870,,,,,,,,42.90951834,-78.84218325,
1872,,,,,,,,42.91305613,-78.82356659,
1873,,,,,,,,42.91652053,-78.80467935,
1876,,,,,,,,42.90166389,-78.83100227,
1877,,,,,,,,42.9009936,-78.83100666,
1879,,,,,,,,42.91522405,-78.82296142,
1880,,,,,,,,42.91142225,-78.82355518,
1881,,,,,,,,42.91026814,-78.82393877,
1889,,,,,,,,42.91363669,-78.85351368,
1890,,,,,,,,42.91827503,-78.81240825,
1892,,,,,,,,42.91348867,-78.82669308,
1897,,,,,,,,42.902193,-78.84772396,
1898,,,,,,,,42.90658706,-78.82495585,
1911,,,,,,,,42.9116062,-78.8115105,
1915,,,,,,,,42.91040889,-78.8611202,
1921,,,,,,,,42.90932563,-78.86343644,
1923,,,,,,,,42.89865617,-78.85360117,
1932,,,,,,,,42.91252891,-78.83398145,
1934,,,,,,,,42.90458647,-78.86172889,
1938,,,,,,,,42.899552299999996,-78.86255473,
1949,,,,,,,,42.898804299999995,-78.84036081,
1954,,,,,,,,42.91941918,-78.83880676,
1955,,,,,,,,42.91474222,-78.82616464,
1958,,,,,,,,42.90746636,-78.83447548,
1972,,,,,,,,42.90238675,-78.8212829,
1975,,,,,,,,42.90214208,-78.82577498,
1982,,,,,,,,42.90569807,-78.82696286,
1984,,,,,,,,42.91873913,-78.8545199,
1991,,,,,,,,42.90034983,-78.82629240000001,
1992,,,,,,,,42.91150462,-78.83066288,
1997,,,,,,,,42.90165876,-78.83585646,
2002,,,,,,,,42.91885962,-78.84295654,
2008,,,,,,,,42.906343400000004,-78.85934395,
2011,,,,,,,,42.90266691,-78.83328726,
2014,,,,,,,,42.91040677,-78.85009872,
2016,,,,,,,,42.91547023,-78.82340093,
2027,,,,,,,,42.901769,-78.82534719,
2030,,,,,,,,42.90582315,-78.8487255,
2037,,,,,,,,42.906328,-78.85516465,
2038,,,,,,,,42.90834442,-78.8204738,
2039,,,,,,,,42.89865904,-78.84922886,
2040,,,,,,,,42.90693758,-78.86124101,
2044,,,,,,,,42.91060821,-78.82614004,
2047,,,,,,,,42.90713998,-78.81585925,
2048,,,,,,,,42.91362062,-78.84971362,
2049,,,,,,,,42.91250177,-78.82665444,
2051,,,,,,,,42.90934377,-78.86280928,
2052,,,,,,,,42.91104206,-78.81403921,
2056,,,,,,,,42.90511522,-78.86081303,
2060,,,,,,,,42.90161661,-78.84870115,
2062,,,,,,,,42.91302469,-78.82460614,
2067,,,,,,,,,,
2068,,,,,,,,42.90183147,-78.81075492,
2075,,,,,,,,42.91623798,-78.85917363,
2079,,,,,,,,42.91559357,-78.81543087,
2083,,,,,,,,42.90316371,-78.83382803,
2087,,,,,,,,42.90150757,-78.83238657,
2091,,,,,,,,42.92016521,-78.84243343,
2094,,,,,,,,42.92003454,-78.83568889,
2099,,,,,,,,42.91162334,-78.86209462,
2102,,,,,,,,42.90533111,-78.81651482,
2105,,,,,,,,42.91278109,-78.8561158,
2114,,,,,,,,42.90158703,-78.8477123,
2119,,,,,,,,42.90535071,-78.8285912,
2123,,,,,,,,42.90076659,-78.84975876,
2128,,,,,,,,42.91490907,-78.81495931,
2130,,,,,,,,42.90340271,-78.82282982,
2132,,,,,,,,42.90236872,-78.84550817,
2134,,,,,,,,42.89952474,-78.85848891,
2142,,,,,,,,42.90195482,-78.82650455,
2147,,,,,,,,42.9016322,-78.85218809,
2148,,,,,,,,42.91354962,-78.82396498,
2149,,,,,,,,42.90568348,-78.82760603,
2153,,,,,,,,42.901496,-78.83631189,
2155,,,,,,,,42.90330753,-78.83431591,
2164,,,,,,,,42.90777112,-78.85780385,
2166,,,,,,,,42.90945773,-78.82353351,
2167,,,,,,,,42.90742361,-78.81410514,
2169,,,,,,,,42.9081491,-78.81338473,
2174,,,,,,,,42.91068942,-78.83327928,
2176,,,,,,,,42.90910616,-78.84781681,
